TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_IV_A_VL_PL;TAB_IV_B_VL_PL_MEDIO
Classe;09.009.924/0001-23;ECO MULTI COMMODITIES FIDC FINANCEIROS AGROPECUARIOS;2025-02-28;-1038392.13;-879231.10
Classe;09.057.948/0001-58;FIDC MULTISETORIAL EXICON I;2025-02-28;92710986.28;91616081.70
Classe;09.072.384/0001-22;CREDITMIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;28875443.96;29285937.48
Classe;09.104.359/0001-83;DETOMASO FIDC-NP MULTISSETORIAL;2025-02-28;173973604.35;178638817.07
Classe;09.115.244/0001-94;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA;2025-02-28;523668692.34;866792660.55
Classe;09.137.729/0001-89;MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;109657145.64;110509325.01
Classe;09.163.026/0001-25;MERIDIANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;73048694.20;71583079.73
Classe;09.172.117/0001-27;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP;2025-02-28;321657966.49;307235293.48
Classe;09.195.235/0001-50;FIDC DO SISTEMA PETROBRAS;2025-02-28;81995656914.20;86006131583.53
Classe;09.217.017/0001-70;ACCESS 1 FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITADA;2025-02-28;399374821.85;341734190.96
Classe;09.217.024/0001-71;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRANQUIAS - RESPONSABILIDADE LIMITADA;2025-02-28;2134297359.49;2226406919.74
Classe;09.220.444/0001-07;DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;22653203.88;22642235.69
Classe;09.221.411/0001-81;VERTIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;51951661.64;51914932.23
Classe;09.236.210/0001-58;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS SELECIONADOS I;2025-02-28;210579974.40;211150739.52
Classe;09.239.216/0001-89;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SM LP;2025-02-28;10246040.21;10137510.13
Classe;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2025-02-28;40656828.18;38625471.86
Classe;09.266.437/0001-46;JPP EMPRESAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA;2025-02-28;34349312.63;44736940.25
Classe;09.363.400/0001-36;MERCANTIL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISETORIAL;2025-02-28;176615316.20;174115317.11
Classe;09.410.142/0001-00;TARGET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS- MULTICREDITO;2025-02-28;31857336.13;33637111.88
Classe;09.414.255/0001-75;DANIELE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;19504326.90;19415767.94
Classe;09.443.633/0001-49;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA;2025-02-28;237478023.84;392061302.68
Classe;09.520.712/0001-06;GRAN FIDC NÃO-PADRONIZADOS MULTISSETORIAL NP - GRANFIDC;2025-02-28;17165446.65;16846033.14
Classe;09.527.140/0001-97;BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2025-02-28;375836326.59;373045675.56
Classe;09.577.075/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BANCO GM - FINANCIAMENTO A CONCESSIONÁRIAS;2025-02-28;447850028.47;446601602.27
Classe;09.609.468/0001-52;MACRO FUND - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;23643740.61;24253735.40
Classe;09.636.040/0001-07;ATLANTIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2025-02-28;12555837.02;13148828.02
Classe;10.145.630/0001-08;QUATA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL;2025-02-28;191175701.40;193707506.92
Classe;10.237.131/0001-40;IAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-02-28;137084193.14;137113533.15
Classe;10.269.029/0001-27;AJAXJUD - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE LIMITADA;2025-02-28;168492882.55;165668249.59
Classe;10.338.491/0001-39;BELLUNO DIGITAL BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;94472183.43;93899371.79
Classe;10.434.089/0001-58;BMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;419163339.69;346749645.82
Classe;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;266944450.86;263886346.65
Classe;10.509.884/0001-68;SALUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP;2025-02-28;457736726.28;434176060.12
Classe;10.528.349/0001-54;CREDENCIAL - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;227549777.88;0.00
Classe;10.545.253/0001-02;VISÃO MULTIMERCADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;44228837.92;43825540.76
Classe;10.613.882/0001-14;ROYAL BANK FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-02-28;841829609.22;838731509.91
Classe;10.740.479/0001-56;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CAIXA HABITAÇÃO;2025-02-28;4776735.61;4784688.79
Classe;10.756.703/0001-06;KOBOLD H FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;2025-02-28;127135570.79;125779444.26
Classe;10.759.034/0001-18;PC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;5548398.40;6307064.45
Classe;10.772.734/0001-42;GRANCRED SP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;11156319.12;10990751.08
Classe;10.774.307/0001-01;PLATINUM FIDC MULTISSETORIAL;2025-02-28;21394167.06;21208797.90
Classe;10.797.027/0001-00;SAFIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-02-28;0.00;0.00
Classe;10.810.396/0001-96;CORPORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;83284615.74;83299287.59
Classe;10.814.233/0001-81;BI INVEST FIDC FORNECEDORES PETROBRAS;2025-02-28;427866.43;430804.77
Classe;10.841.829/0001-70;SPREADSUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;19880105.12;19676789.86
Classe;10.841.847/0001-52;MULTI ASSET FIDC MULTISSETORIAL;2025-02-28;308690898.78;306686251.87
Classe;10.842.374/0001-08;MÚLTIPLO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2025-02-28;118958095.51;116698933.10
Classe;10.896.292/0001-46;INCENTIVO MULTISETORIAL I - FIDC;2025-02-28;4853594.87;4978069.98
Classe;10.996.108/0001-30;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - RECUPERARE;2025-02-28;128987947.34;129382541.90
Classe;11.026.623/0001-50;BENFICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;27774301.27;27234298.90
Classe;11.088.794/0001-03;MINERVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - CRÉDITO MERCANTIL RESPONSABILIDADE LIMITADA;2025-02-28;494306949.63;0.00
Classe;11.122.821/0001-17;SL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-02-28;58837653.85;49071006.16
Classe;11.198.684/0001-02;PRASS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II;2025-02-28;190008519.44;191570920.29
Classe;11.203.571/0001-40;CRESCER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;84558787.73;84061570.23
Classe;11.230.727/0001-81;FIDC GM - VENDA DE VEÍCULOS;2025-02-28;3154951937.40;3218190382.54
Classe;11.261.368/0001-20;FLUXASSET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;52152511.28;53558673.72
Classe;11.370.045/0001-74;G5 CREDIJUS CRÉDITOS JUDICIAIS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;0.00;0.00
Classe;11.375.619/0001-05;CJP FIDC-NP CRÉDITOS JUDICIAIS E PRECATÓRIOS;2025-02-28;1058132949.29;1058283653.60
Classe;11.439.669/0001-09;STEP-UP CRÉDITO JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;63917474.12;63924614.52
Classe;11.468.186/0001-24;ATLANTA FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-02-28;2751888312.76;2709184207.54
Classe;11.468.192/0001-81;DEL CRED NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2025-02-28;266415557.43;259883821.56
Classe;11.489.344/0001-22;RED PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP DE RESPONSABILIDADE LIMITADA;2025-02-28;938552483.93;947014316.68
Classe;11.491.061/0001-15;DANIELE II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;47168836.69;55929446.24
Classe;11.507.489/0001-09;BFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;282735175.89;280844130.14
Classe;11.629.795/0001-18;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS EXODUS INSTITUCIONAL;2025-02-28;12039987.90;14149124.26
Classe;11.675.457/0001-12;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL MASTER;2025-02-28;1362008.46;1383333.58
Classe;11.693.671/0001-00;R&G FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;239412807.53;231599491.50
Classe;11.701.985/0001-07;VALORA GUARDIAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;359884939.03;368756067.16
Classe;11.812.962/0001-61;BERLANDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SEGMENTO ECONÔMICO FINANCEIRO;2025-02-28;143428047.28;138365513.99
Classe;11.813.230/0001-96;MA MÁQUINAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO DO AGRONEGÓCIO;2025-02-28;14261909.22;13976061.29
Classe;11.823.118/0001-36;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL PREVIA;2025-02-28;75721076.92;76472382.05
Classe;11.827.500/0001-18;FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00
Classe;11.888.461/0001-69;ITU FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-02-28;569825745.55;569785756.96
Classe;11.902.354/0001-48;FM1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-  RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00
Classe;11.989.256/0001-90;FIDC MULTISETORIAL MASTER II;2025-02-28;1249238.01;3546390.00
Classe;12.036.226/0001-21;SG III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;35896221.38;35223521.11
Classe;12.036.247/0001-47;SG III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-02-28;73388237.52;174144497.28
Classe;12.093.804/0001-61;CAPITAL ANNEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;119861244.57;117320011.96
Classe;12.138.813/0001-21;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL MASTER III;2025-02-28;3027125.84;2536372.72
Classe;12.138.862/0001-64;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SILVERADO MAXIMUM II;2025-02-28;0.00;0.00
Classe;12.144.737/0001-67;CREDIT BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL MASTER - EM LIQUIDAÇÃO;2025-02-28;1016971.22;1089334.78
Classe;12.167.116/0001-07;VIA INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA;2025-02-28;242478638.32;241886993.83
Classe;12.182.585/0001-97;AGRO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;0.00;0.00
Classe;12.227.850/0001-06;G5 BR INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;4119081.92;4131039.99
Classe;12.236.809/0001-04;PLR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;820812614.36;805761324.36
Classe;12.254.372/0001-23;GARSON - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;225455904.52;218857495.44
Classe;12.330.846/0001-79;LHOTSE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-02-28;1064134.16;1074141.39
Classe;12.377.935/0001-70;MATURITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-02-28;33029843.24;32805135.54
Classe;12.385.897/0001-06;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RED P;2025-02-28;1354539016.72;1349833174.37
Classe;12.400.421/0001-99;LIBRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;163933598.36;164076012.69
Classe;12.400.426/0001-11;MOKA FUND I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;71924830.20;71831448.40
Classe;12.428.086/0001-37;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP;2025-02-28;1623847922.92;1645921370.96
Classe;12.440.789/0001-80;LME REC MULTISETORIAL IPCA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-02-28;63996397.17;64745107.70
Classe;12.565.143/0001-20;FC2 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;-265298.19;-263386.98
Classe;12.579.631/0001-96;VINCI CRÉDITO E DESENVOLVIMENTO I - FI EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;111753768.10;106147196.20
Classe;12.610.459/0001-96;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA GOAL ONE;2025-02-28;150332430.84;140622428.84
Classe;12.660.458/0001-56;FC4 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;-507799.39;-505852.99
Classe;12.660.462/0001-14;FC3 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA;2025-02-28;-619806.54;-617841.14
Classe;12.660.468/0001-91;FC5 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA;2025-02-28;-267670.23;-265759.02
Classe;12.674.251/0001-30;FC8 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA;2025-02-28;-2762105.79;-2759771.55
Classe;12.674.257/0001-08;FC6 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;-520176.77;-518226.27
Classe;12.712.606/0001-39;IGUANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;37488296.65;36269528.05
Classe;12.764.295/0001-51;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ARM;2025-02-28;92520673.19;92851346.51
Classe;12.764.483/0001-80;NEGOCIAL FIDC SEGMENTO ECONÔMICO FINANCEIRO, INDUSTRIAL, COMERCIAL E PRESTAÇÃO DE SERVIÇOS;2025-02-28;139890530.04;137637190.64
Classe;12.769.511/0001-51;ID FINANCIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;14724611.85;14404871.72
Classe;12.778.706/0001-68;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - BRASILFACTORS CRÉDITO CORPORATIVO;2025-02-28;115980066.51;123853267.27
Classe;12.796.029/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MERCANTIS AUTO PEÇAS;2025-02-28;166594263.95;166584548.71
Classe;12.803.721/0001-19;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO;2025-02-28;86939012.57;84935050.35
Classe;12.813.209/0001-53;CREDIT PARTNERS FUNDO DE INVESTIMENTO EM COTAS DE FIDC DE RESPONSABILIDADE LIMITADA;2025-02-28;135412096.34;134749968.19
Classe;12.813.212/0001-77;RNX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;474089858.08;443370542.24
Classe;12.817.329/0001-29;HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL;2025-02-28;3395536525.78;3326430193.81
Classe;12.910.431/0001-74;MEINBERG FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-02-28;41424849.07;41648406.15
Classe;12.910.463/0001-70;CAPITAL RS NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2025-02-28;81838631.47;80478247.37
Classe;12.956.543/0001-66;CAMBUI FINANÇAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2025-02-28;6397717.27;6760328.98
Classe;13.004.286/0001-25;APOLO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;59094009.37;57558009.46
Classe;13.005.223/0001-93;DANIELE FUNDO DE INVEST EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;614585278.16;601632196.01
Classe;13.026.491/0001-91;HAMPTON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-02-28;19459756.84;20329934.21
Classe;13.039.712/0001-66;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PREMIUM SOLIS;2025-02-28;36901305.34;37528722.02
Classe;13.098.860/0001-51;GFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICRÉDITO;2025-02-28;247724127.81;244535776.75
Classe;13.321.819/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VALE;2025-02-28;3191120372.00;3235717383.92
Classe;13.327.334/0001-16;UNAVANTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;141234239.80;135894140.38
Classe;13.342.963/0001-15;TARGET BANK JS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;1835385.60;1521306.90
Classe;13.344.834/0001-66;INCENTIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL II;2025-02-28;-35219830.15;-35136289.86
Classe;13.348.521/0001-86;RDG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2025-02-28;28407669.67;28271048.49
Classe;13.401.155/0001-81;IRON FUND II TWC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;51093640.09;51507117.66
Classe;13.409.986/0001-08;ALBATROZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS;2025-02-28;19145662.51;19125694.06
Classe;13.416.131/0001-04;EGM NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2025-02-28;63199490.77;60416635.65
Classe;13.425.492/0001-09;ACTIVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL NÃO PADRONIZADOS LP;2025-02-28;19697216.93;19932956.47
Classe;13.509.993/0001-73;POLO MULTISETORIAL CLASSE DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;38145551.72;38283948.96
Classe;13.554.539/0001-34;MARIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL NÃO-PADRONIZADO;2025-02-28;4153856.15;4098766.55
Classe;13.598.246/0001-59;DUAS RODAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO;2025-02-28;86744429.37;84618778.16
Classe;13.606.266/0001-24;TERRAS RARAS FIDC MULTISETORIAL DE RESPONSABILIDADE ILIMITADA;2025-02-28;223935615.66;218834048.00
Classe;13.633.964/0001-19;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL INVEST DUNAS LP;2025-02-28;50822.65;46052.61
Classe;13.711.061/0001-09;4SSETS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;13097970.91;13447287.69
Classe;13.733.804/0001-41;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MIT RESPONSABILIDADE LIMITADA;2025-02-28;398099325.93;400764608.70
